Race,1,2,3,4,5,6,7,8,9,10,11
"State Representative, 48th District",Edward Marihart,Jeff Reardon,Jeff Reardon,Jeff Reardon,Write-in,,,,,,
"State Representative, 49th District",Greg Johnson,Zach Hudson,Write-in,,,,,,,,
"State Representative, 50th District",Ricki Ruiz,Amelia Salvador,Write-in,,,,,,,,
"State Representative, 51st District",Janelle S Bynum,Jane J Hays,Donald B Crawford,Write-in,,,,,,,
"State Representative, 52nd District",Anna Williams,Stephen D Alder,Jeff Helfrich,Write-in,,,,,,,
"Judge of the Supreme Court, Position 4",Christopher L Garrett,Write-in,,,,,,,,,
"Judge of the Court of Appeals, Position 9",Jacqueline S Kamins,Write-in,,,,,,,,,
"Judge of the Circuit Court, 4th District, Position 12",Adrian L Brown,Rima Ghandour,Write-in,,,,,,,,
"Judge of the Circuit Court, 4th District, Position 26",Steffan Alexander,Write-in,,,,,,,,,
"City of Fairview, Councilor, Position 1",Wendy Young Lawton,Write-in,,,,,,,,,
"City of Fairview, Councilor, Position 2",Steve Marker,Mike Weatherby,Write-in,,,,,,,,
"City of Fairview, Councilor, Position 3",Keith A Kudrna,Write-in,,,,,,,,,
"City of Fairview, Councilor, Position 5",Steve Owen,Write-in,,,,,,,,,
"City of Gresham, Mayor",Eddy Morales,Sean Bishop,Joe Demers,Nick Switzer,Travis Stovall,Write-in,,,,,
"City of Gresham, Councilor, Position 1",Jerry W Hinton,Dina DiNucci,Write-in,,,,,,,,
"City of Gresham, Councilor, Position 3",Matt Burnett,Vince Jones-Dixon,Brianna Harris,Raymond Love,Beshara S Shahin,Write-in,,,,,
"City of Gresham, Councilor, Position 5",Sue Piazza,Stella Armstrong,Dave Dyk,Thomas Stanley,Write-in,,,,,,
"City of Maywood Park, Council Member",Jeff Williams,Robin R Wisner Sr,Jim Akers,Miriam Berman,Ron Dickson,Write-in,Write-in,Write-in,,,
"City of Portland, Mayor",Ted Wheeler,Sarah Iannarone,Write-in,,,,,,,,
"City of Portland, Commissioner, Position 4",Mingus Mapps,Chloe Eudaly,Write-in,,,,,,,,
"City of Troutdale, Mayor",David Ripma,Randy Lauer,Write-in,,,,,,,,
"City of Troutdale, Councilor, Position 2",Laura Tils,Alison Caswell,Tim Erich,Write-in,,,,,,,
"City of Troutdale, Councilor, Position 4",Paul Wilcox,Glenn White,Write-in,,,,,,,,
"City of Troutdale, Councilor, Position 6",Sandy Glantz,John Leamy,Write-in,,,,,,,,
"City of Wood Village, Councilor, Position 2",Jairo Rios-Campos,Patricia Smith,Write-in,,,,,,,,
"City of Wood Village, Councilor, Position 3",T. Scott Harden,Write-in,,,,,,,,,
"City of Wood Village, Councilor, Position 5",JoSeph Queruel,Brian C Loy,Write-in,,,,,,,,
"City of Lake Oswego, Mayor",Joe Buck,Theresa M Kohlhoff,John LaMotte,Write-in,,,,,,,
"City of Lake Oswego, Councilor",Massene Mboup,Melissa Fireside,Emma Burke,Aaron Rapf,Rachel Verdick,Write-in,Write-in,Write-in,,,
"Metro Councilor, District 5",Mary Nolan,Chris Smith,Write-in,,,,,,,,
EMSWCD Dir At Large Position 1,Devin Portwood,Rick Till,James (Jim) Carlson,Write-in,,,,,,,
EMSWCD Dir At Large Position 2,Jasmine Zimmer-Stucky,Lars Granstrom,Write-in,,,,,,,,
EMSWCD Dir Zone 1,Joe Rossi,Write-in,,,,,,,,,
EMSWCD Dir Zone 2,Laura Masterson,Grant Eisele,Write-in,,,,,,,,
WMSWCD Dir At Large Pos 1,Weston Miller,Write-in,,,,,,,,,
WMSWCD Dir Zone 1,Kimberly Peterson,Write-in,,,,,,,,,
WMSWCD Dir Zone 2,Jane Hartline,Write-in,,,,,,,,,
WMSWCD Dir Zone 3,George Sowder,Write-in,,,,,,,,,
Rockwood Water PUD Dir SD 1,Tom Lewis,Write-in,,,,,,,,,
Rockwood Water PUD Dir SD 3,Kathy Zimmerman,Write-in,,,,,,,,,
Rockwood Water PUD Dir SD 4,Steve R Okazaki,Write-in,,,,,,,,,
Interlachen Water PUD Dir SD 1,Mel Rieff,Write-in,,,,,,,,,
Interlachen Water PUD Dir SD 4,Thomas E Caufield,Write-in,,,,,,,,,
Interlachen Water PUD Dir SD 5,David Richardson,Write-in,,,,,,,,,
Measure 107,Yes,No,,,,,,,,,
Measure 108,Yes,No,,,,,,,,,
Measure 109,Yes,No,,,,,,,,,
Measure 110,Yes,No,,,,,,,,,
Measure 26-211,Yes,No,,,,,,,,,
Measure 26-214,Yes,No,,,,,,,,,
Measure 26-213,Yes,No,,,,,,,,,
Measure 26-217,Yes,No,,,,,,,,,
Measure 26-219,Yes,No,,,,,,,,,
Measure 26-212,Yes,No,,,,,,,,,
Measure 26-218,Yes,No,,,,,,,,,
Measure 3-560,Yes,No,,,,,,,,,
Measure 26-216,Yes,No,,,,,,,,,
Measure 26-220,Yes,No,,,,,,,,,
Measure 26-215,Yes,,,,,,,,,,
